Maisbich basin temperature data, sensor 1209366_laser, month 2008-01
"time","T"
"","Temperature"
"yyyy-mm-ddThh:mm:ss","deg C"
2008-01-10T14:36:00,19.175
2008-01-10T14:39:00,24.388
2008-01-10T14:42:00,27.235
2008-01-10T14:45:00,28.841
2008-01-10T14:48:00,29.84
2008-01-10T14:51:00,30.495
2008-01-10T14:54:00,30.9
2008-01-10T14:57:00,31.179
2008-01-10T15:00:00,31.382
2008-01-10T15:03:00,31.484
2008-01-10T15:06:00,31.586
2008-01-10T15:09:00,31.637
2008-01-10T15:12:00,31.663
2008-01-10T15:15:00,31.484
2008-01-10T15:18:00,31.535
2008-01-10T15:21:00,31.535
2008-01-10T15:24:00,31.535
2008-01-10T15:27:00,31.535
2008-01-10T15:30:00,31.484
2008-01-10T15:33:00,31.433
2008-01-10T15:36:00,31.408
2008-01-10T15:39:00,31.408
2008-01-10T15:42:00,31.408
2008-01-10T15:45:00,31.408
2008-01-10T15:48:00,31.408
2008-01-10T15:51:00,31.408
2008-01-10T15:54:00,31.433
2008-01-10T15:57:00,31.433
2008-01-10T16:00:00,31.484
2008-01-10T16:03:00,31.535
2008-01-10T16:06:00,31.535
2008-01-10T16:09:00,31.561
2008-01-10T16:12:00,31.561
2008-01-10T16:15:00,31.586
2008-01-10T16:18:00,31.561
2008-01-10T16:21:00,31.535
2008-01-10T16:24:00,31.586
2008-01-10T16:27:00,31.586
2008-01-10T16:30:00,31.637
2008-01-10T16:33:00,31.612
2008-01-10T16:36:00,31.637
2008-01-10T16:39:00,31.663
2008-01-10T16:42:00,31.612
2008-01-10T16:45:00,31.612
2008-01-10T16:48:00,31.612
2008-01-10T16:51:00,31.612
2008-01-10T16:54:00,31.637
2008-01-10T16:57:00,31.663
2008-01-10T17:00:00,31.689
2008-01-10T17:03:00,31.714
2008-01-10T17:06:00,31.689
2008-01-10T17:09:00,31.689
2008-01-10T17:12:00,31.689
2008-01-10T17:15:00,31.637
2008-01-10T17:18:00,31.586
