Maisbich basin temperature data, sensor 1209366_laser, month 2008-08
"time","T"
"","Temperature"
"yyyy-mm-ddThh:mm:ss","deg C"
2008-08-01T00:00:00,26.94
2008-08-01T00:06:00,26.94
2008-08-01T00:12:00,26.94
2008-08-01T00:18:00,26.916
2008-08-01T00:24:00,26.916
2008-08-01T00:30:00,26.916
2008-08-01T00:36:00,26.916
2008-08-01T00:42:00,26.891
2008-08-01T00:48:00,26.891
2008-08-01T00:54:00,26.891
2008-08-01T01:00:00,26.891
2008-08-01T01:06:00,26.891
2008-08-01T01:12:00,26.891
2008-08-01T01:18:00,26.867
2008-08-01T01:24:00,26.867
2008-08-01T01:30:00,26.867
2008-08-01T01:36:00,26.867
2008-08-01T01:42:00,26.867
2008-08-01T01:48:00,26.867
2008-08-01T01:54:00,26.867
2008-08-01T02:00:00,26.842
2008-08-01T02:06:00,26.818
2008-08-01T02:12:00,26.818
2008-08-01T02:18:00,26.793
2008-08-01T02:24:00,26.793
2008-08-01T02:30:00,26.793
2008-08-01T02:36:00,26.793
2008-08-01T02:42:00,26.793
2008-08-01T02:48:00,26.793
2008-08-01T02:54:00,26.769
2008-08-01T03:00:00,26.769
2008-08-01T03:06:00,26.769
2008-08-01T03:12:00,26.769
2008-08-01T03:18:00,26.769
2008-08-01T03:24:00,26.744
2008-08-01T03:30:00,26.744
2008-08-01T03:36:00,26.744
2008-08-01T03:42:00,26.744
2008-08-01T03:48:00,26.744
2008-08-01T03:54:00,26.72
2008-08-01T04:00:00,26.72
2008-08-01T04:06:00,26.72
2008-08-01T04:12:00,26.72
2008-08-01T04:18:00,26.695
2008-08-01T04:24:00,26.695
2008-08-01T04:30:00,26.671
2008-08-01T04:36:00,26.671
2008-08-01T04:42:00,26.671
2008-08-01T04:48:00,26.646
2008-08-01T04:54:00,26.646
2008-08-01T05:00:00,26.646
2008-08-01T05:06:00,26.646
2008-08-01T05:12:00,26.622
2008-08-01T05:18:00,26.622
2008-08-01T05:24:00,26.622
