Maisbich basin temperature data, sensor 1209366_laser, month 2008-03
"time","T"
"","Temperature"
"yyyy-mm-ddThh:mm:ss","deg C"
2008-03-01T00:00:00,27.259
2008-03-01T00:03:00,27.21
2008-03-01T00:06:00,27.21
2008-03-01T00:09:00,27.235
2008-03-01T00:12:00,27.21
2008-03-01T00:15:00,27.21
2008-03-01T00:18:00,27.21
2008-03-01T00:21:00,27.186
2008-03-01T00:24:00,27.161
2008-03-01T00:27:00,27.186
2008-03-01T00:30:00,27.161
2008-03-01T00:33:00,27.161
2008-03-01T00:36:00,27.112
2008-03-01T00:39:00,27.161
2008-03-01T00:42:00,27.112
2008-03-01T00:45:00,27.136
2008-03-01T00:48:00,27.136
2008-03-01T00:51:00,27.136
2008-03-01T00:54:00,27.136
2008-03-01T00:57:00,27.063
2008-03-01T01:00:00,27.038
2008-03-01T01:03:00,27.038
2008-03-01T01:06:00,27.063
2008-03-01T01:09:00,27.038
2008-03-01T01:12:00,27.038
2008-03-01T01:15:00,27.038
2008-03-01T01:18:00,27.014
2008-03-01T01:21:00,27.038
2008-03-01T01:24:00,27.014
2008-03-01T01:27:00,26.989
2008-03-01T01:30:00,26.965
2008-03-01T01:33:00,26.965
2008-03-01T01:36:00,26.965
2008-03-01T01:39:00,26.891
2008-03-01T01:42:00,26.916
2008-03-01T01:45:00,26.916
2008-03-01T01:48:00,26.891
2008-03-01T01:51:00,26.916
2008-03-01T01:54:00,26.891
2008-03-01T01:57:00,26.891
2008-03-01T02:00:00,26.916
2008-03-01T02:03:00,26.867
2008-03-01T02:06:00,26.867
2008-03-01T02:09:00,26.818
2008-03-01T02:12:00,26.818
2008-03-01T02:15:00,26.793
2008-03-01T02:18:00,26.793
2008-03-01T02:21:00,26.818
2008-03-01T02:24:00,26.769
2008-03-01T02:27:00,26.793
2008-03-01T02:30:00,26.769
2008-03-01T02:33:00,26.744
2008-03-01T02:36:00,26.744
2008-03-01T02:39:00,26.744
2008-03-01T02:42:00,26.744
